"ID","Number","Invoice Ref","Created","Updated","Author","Description","Property Ref","Property","Branch","Client Ref","Client","Billing Card Ref","Billing Card Name","Date","Due Date","Days Overdue","Last Reminder Sent At","Subtotal","Tax","Total","Credit Total","Status","Task Ref","Task Name","Task ID","Task Status","Task Cost Centre","Task Category","Task Service Group"
22804,"U0006573","","2026-04-14 08:19:32","2026-04-16 03:17:56","Casper Tavitian","","39A578","40 Ricketty Road, Mascot, NSW 2020","","1097","Henderson & Horning Pty Ltd","CO-2500","Henderson & Horning Pty Ltd","2026-04-14","2026-05-30","","","574.0000","57.4000","631.4000",0.00,"PAID","T-34151","FIP Investigation","34151","COMPLETE","","Callout","R DETECTION"
22773,"U0006572","W-03342-000002","2026-04-13 15:25:30","2026-04-16 03:17:56","Casper Tavitian","","P1108","Centennial Park - Grand Drive Sydney NSW 2021","","","Greater Sydney Parklands C/ - JLL","CO-1513","Jones Lang Lasalle","2026-04-13","2026-05-30","","","520.0000","52.0000","572.0000",0.00,"AUTHORISED","T-36204","SQ-0703 Works","36204","COMPLETE","","Repair","R DETECTION"
22772,"U0006571","W-03344-000003","2026-04-13 15:23:41","2026-04-16 03:17:56","Casper Tavitian","","P1108","Centennial Park - Grand Drive Sydney NSW 2021","","","Greater Sydney Parklands C/ - JLL","CO-1513","Jones Lang Lasalle","2026-04-13","2026-05-30","","","590.0000","59.0000","649.0000",0.00,"AUTHORISED","T-36205","SQ-0702 Works","36205","COMPLETE","","Repair","R DETECTION"
22771,"U0006570","Work Order No. 85FLUSH2600075","2026-04-13 15:14:15","2026-04-16 03:17:56","Casper Tavitian","","39A216","Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148","","1122","Stanton Hillier Parker","CO-2081","C/- CI Australia","2026-04-13","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-34621","EWIS panel showing fault and audible alarm","34621","COMPLETE","","Callout","R DETECTION"
22739,"U0006569","","2026-04-13 14:24:57","2026-04-13 14:24:59","Casper Tavitian","","39A717","AU282 - 3 McPherson Street, Banksmeadow NSW 2019","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-13","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"DRAFT","T-19010","Fault on fire system","19010","COMPLETE","","Callout","R DETECTION"
22738,"U0006568","Email 13.04.2026","2026-04-13 14:24:02","2026-04-16 03:17:56","Casper Tavitian","","39A163","1 Rivett Road, North Ryde, NSW 2113","","","Quality Green Metro Pty Ltd as Trustee for Quality Green Metro Unity Trust","CO-2032","MMJ Real Estate","2026-04-13","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-39898","Call Out - FIP Fault ","39898","COMPLETE","","Callout","R DETECTION"
22705,"U0006567","Work Order No: 335053 Purchase Order No: 584985","2026-04-13 09:59:51","2026-04-16 03:17:56","Casper Tavitian","As per accepted defect quote QD-2402 dated 25-02-2026.","39A635 AU186","Precinct 5 AU186 - 3 Tundra Close, Kemps Kreek, NSW 2178","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-13","2026-05-30","","","660.5100","66.0500","726.5600",0.00,"AUTHORISED","T-32692","FIP Battery replacement (Quote QD-2402)","32692","COMPLETE","","Repair","R DETECTION"
22676,"U0006563","REQ PO ","2026-04-10 15:31:59","2026-04-14 14:41:36","Casper Tavitian","","39A679","Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766","","","The Trustee for Smithfield Industrial Property Trust","CO-070","Knight Frank Australia Pty","2026-04-10","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"DRAFT","T-38083","Trip Test","38083","PERFORMED","","Callout","R DETECTION"
22675,"U0006562","Work Order No: 327960 Purchase Order No: 572600","2026-04-10 15:20:58","2026-04-16 03:17:56","Mariette Henderson","","39659 AU545","Goodman AU545 - Interlink Industrial Estate - Kimberly Clark -  35 Sarah Andrews Close, Erskine Park, NSW 2759","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-10","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-26652","FAS Fault","26652","COMPLETE","","Callout","R DETECTION"
22674,"U0006561","","2026-04-10 15:07:52","2026-04-10 15:07:55","Casper Tavitian","As per accepted defect quote QD-2668 dated 07-04-2026.","P1108","Centennial Park - Grand Drive Sydney NSW 2021","","","Greater Sydney Parklands C/ - JLL","CO-1513","Jones Lang Lasalle","2026-04-10","2026-05-30","","","4575.2000","457.5200","5032.7200",0.00,"DRAFT","T-38941","QD-2668 Works","38941","COMPLETE","","Repair","R DETECTION"
22673,"U0006560","","2026-04-10 15:06:17","2026-04-10 15:06:20","Casper Tavitian","As per accepted defect quote QD-2664 dated 07-04-2026.","P1108","Centennial Park - Grand Drive Sydney NSW 2021","","","Greater Sydney Parklands C/ - JLL","CO-1513","Jones Lang Lasalle","2026-04-10","2026-05-30","","","5238.4000","523.8400","5762.2400",0.00,"DRAFT","T-38942","QD-2664 Works","38942","COMPLETE","","Repair","R DETECTION"
22640,"U0006557","WOT0030229","2026-04-10 14:33:04","2026-04-16 03:17:56","Mariette Henderson","","39A513","ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055","","","Australian Catholic Universities (ACU)","CO-2387","Australian Catholic University (ACU)","2026-04-10","2026-05-30","","","755.0000","75.5000","830.5000",0.00,"AUTHORISED","T-37325","Further to fault – and inspection ","37325","COMPLETE","","Callout","R DETECTION"
22639,"U0006556","Work Order Task : WOT0030028","2026-04-10 14:22:02","2026-04-16 03:17:56","Mariette Henderson","","39A513","ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055","","","Australian Catholic Universities (ACU)","CO-2387","Australian Catholic University (ACU)","2026-04-10","2026-05-30","","","519.0000","51.9000","570.9000",0.00,"AUTHORISED","T-35114","613 – replace break glass device ","35114","COMPLETE","","Callout","R DETECTION"
22178,"U0006385","Work Order No: 336679 Purchase Order No: 587893","2026-04-08 13:41:19","2026-04-16 03:17:59","Mariette Henderson","As per accepted defect quote QD-2101 - FIP dated 13-01-2026.","39A591 AU240","Goodman AU240 - Park View Business Park - 3 Talavera Road, Macquarie Park, NSW 2113","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-08","2026-05-30","","","1099.6200","109.9600","1209.5800",0.00,"AUTHORISED","T-34391","Owners Agent defect battery repairs (Quote QD-2101 - FIP)","34391","COMPLETE","","Repair","R DETECTION"
22177,"U0006384","Work Order No: 335198 Purchase Order No: 585251","2026-04-08 13:30:38","2026-04-16 03:17:59","Mariette Henderson","As per accepted defect quote QD-2407 dated 25-02-2026.","39A427 AU645","Goodman AU645 - Campus Business Park - 350-374 Parramatta Road, Homebush West, NSW, 2140","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-08","2026-05-30","","","1868.1300","186.8100","2054.9400",0.00,"AUTHORISED","T-32691","FIP Monthly Battery defects (Quote QD-2407)","32691","COMPLETE","","Repair","R DETECTION"
22045,"U0006379","","2026-04-07 11:57:47","2026-04-16 03:17:59","Mariette Henderson","As per accepted defect quote QD-1468 dated 16-09-2025.","P1098","White Horse - 381 Crown St, Surry Hills","","","PDC Tech Pty Ltd","LG","Legend Group","2026-04-07","2026-05-30","","","1190.0000","119.0000","1309.0000",0.00,"PAID","T-38611","QD-1468 Works","38611","READY","","Repair","R DETECTION"
21946,"U0006374","WO: 339373 PO: 592832 CO RQD ","2026-04-01 09:01:54","2026-04-16 03:17:59","Casper Tavitian","","39A507 AU568","Goodman AU568 - Oakdale East Estate - Masonry Building - 2-4 Latitude Drive, Horsley Park, NSW 2175","","","Goodman Property Services (Aust) Pty Limited SC01822","CO-074","Goodman Property Services (Aust) Pty Limited","2026-04-01","2026-05-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-37192","FAS Fault - inspect and ensure all is operating correctly.","37192","COMPLETE","","Callout","R DETECTION"
21896,"U0006372","W-00105-000100","2026-03-31 13:52:58","2026-04-16 03:18:00","Jamie Wright","Reset alarms closed roof vents system now normal return tomorrow to repair faults on panel","39380","Costas - 4 Beach Street, Eastern Creek, NSW 2766","","","Lendlease Real Estate Investments Ltd C/- JLL","CO-1513","Jones Lang Lasalle","2026-03-31","2026-04-30","","","590.0000","59.0000","649.0000",0.00,"AUTHORISED","T-34619","Motorised Ceiling Smoke Panels that need to be reset","34619","COMPLETE","","Callout","R DETECTION"
21895,"U0006371","Work Order No. 85FLU","2026-03-31 13:50:10","2026-04-16 03:18:00","Jamie Wright","Replaced three detectors that were causing alarms as per report photos and documents","39A216","Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148","","1122","Stanton Hillier Parker","CO-2081","C/- CI Australia","2026-03-31","2026-04-30","","","742.0000","74.2000","816.2000",0.00,"AUTHORISED","T-36071","investigate false fire alarm","36071","COMPLETE","","Callout","R DETECTION"
21894,"U0006370","Jae","2026-03-31 13:42:54","2026-04-16 03:18:00","Jamie Wright","Deisolated OWS as per report","39464","45 Jones Street St, Ultimo, NSW 2007","","725","Serbale Pty Limited","CO-686","D.J.Wear & Associates","2026-03-31","2026-04-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-37258","Investigate Isolation on the FIP","37258","COMPLETE","","Callout","R DETECTION"
21893,"U0006369","PO-267829","2026-03-31 13:40:30","2026-04-16 03:18:00","Jamie Wright","Found three zones isolated de isolated system found addressable thermal and missing fault and an alarm reset and left isolated. Also Wagner and chicken receivable analog fault. Will need access to men to repair
small scissor lift on site.","39978","COLES RRM - 54 Templar Road, Erskine Park, NSW 2759","","703","Retail Ready Operations Australia","CO-2099","Retail Ready Operations Australia","2026-03-31","2026-04-30","","","460.0000","46.0000","506.0000",0.00,"AUTHORISED","T-34147","Isolations need to reset FIP","34147","COMPLETE","","Callout","R DETECTION"
21892,"U0006368","WO: 31604026 PO 4200","2026-03-31 13:35:06","2026-04-16 03:18:00","Jamie Wright","Checked , wiring ASE rewired terminated connections . Possibly ASE fault not FIP .

System reinstated back to normal","39A337","(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015","","1002","Sydney Trains","CO-2217","Sydney Trains ( Transport for NSW)","2026-03-31","2026-04-30","","","580.0000","58.0000","638.0000",0.00,"AUTHORISED","T-32738","Fire Panel Fault","32738","COMPLETE","","Callout","R DETECTION"
21891,"U0006367","WO: 31599809  PO: 42","2026-03-31 13:32:57","2026-04-16 03:18:00","Jamie Wright","Cleared EBI fault , monitoring PSU in FIP .

Voltages all normal going in/out PSU .","39A337","(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015","","1002","Sydney Trains","CO-2217","Sydney Trains ( Transport for NSW)","2026-03-31","2026-04-30","","","980.0000","98.0000","1078.0000",0.00,"AUTHORISED","T-32657","Fire panel has EBI status fault","32657","COMPLETE","","Callout","R DETECTION"
21890,"U0006366","","2026-03-31 13:30:06","2026-04-16 03:18:00","Jamie Wright","Investigated zone 17 VESDA alarm. Found VESDA in conveyor tunnel on roof. No power to VESDA unit. Traced cabling in roof space to a power supply in roof space which had no 240v power. Traced PSU feed cabling back to an extension lead sitting on the floor unplugged. Plugged back into GPO mounted on switchboard. PSU and VESDA back online. Low air fault on VESDA, rebalanced air flows and sitting normal now. Left it isolated as they have cleaning works booked in soon. Return to de-isolate.","39233","The Kitchenary - 27 Holbeche Road, Arndell Park, NSW 2148","","72","The Kitchenary Pty Ltd","CO-2161","The Kitchenary Pty Ltd","2026-03-31","2026-04-30","","","720.0000","72.0000","792.0000",0.00,"AUTHORISED","T-31945","Inspection of Vesda zone 17 for replacement","31945","COMPLETE","","Callout","R DETECTION"
21889,"U0006365","Alex","2026-03-31 13:24:22","2026-04-16 03:18:00","Jamie Wright","As per accepted defect quote QD-1935 dated 12-12-2025.","39638","Cotton King - 95 Bonds Road,  Punchbowl, NSW 2196","","423","Uturn Reuse Pty Limited","CO-2644","Uturn Reuse Pty Ltd","2026-03-31","2026-04-30","","","369.0000","36.9000","405.9000",0.00,"PAID","T-25774","FIP Monthly defect battery replacement (Quote QD-1935)","25774","COMPLETE","","Repair","R DETECTION"
21715,"U0006348","Michael Burke Approv","2026-03-31 07:20:13","2026-04-16 03:18:00","Jamie Wright","As per accepted defect quote QD-2008 dated 22-12-2025.","39A222","Zaresky  - 171 Oxford Street, Bondi Junction, NSW 2022","","","Zaresky Investment P/L","CO-1772","Steven Krulis Real Estate Consultants","2026-03-31","2026-04-30","","","7058.2600","705.8300","7764.0900",0.00,"PAID","T-36037","QD-2008 Works","36037","COMPLETE","","Repair","R DETECTION"
21584,"U0006342","W-00832-000585","2026-03-30 10:13:28","2026-04-16 03:18:00","Jamie Wright","Alarm tested level one found dampers not going in alarm when testing level three level one then opens but when I testing level two level one didn’t open seems  to be a glitch in the program unable to find cause
Attended site for the mechanical testing, trips worked in manual checked program and conducted the tests, site have advised Mechanical are happy with the test results","39A193","1 YORK - 1 York Street, Sydney, NSW 2000","","","York II Sub Trust","CO-1513","Jones Lang Lasalle","2026-03-30","2026-04-30","","","720.0000","72.0000","792.0000",0.00,"AUTHORISED","T-36335","L1 Fire Dampers","36335","COMPLETE","","Callout","R DETECTION"
21520,"U0006337","WO00009668","2026-03-30 07:49:35","2026-04-16 03:18:00","Jamie Wright","Installed new exit light above door for fire compliance","39A434","Metrolink Corporate Park - 197-201 Coward Street  Mascot, NSW 2020","","","The Trust Company (Australia) Ltd ATF Ascendas Business Park Trust No.1 C/- Colliers","CO-504","Colliers International","2026-03-30","2026-04-30","","","3862.4000","386.2400","4248.6400",0.00,"PAID","T-35279","39A434 (Service Quote SQ-0669)","35279","COMPLETE","","Repair","R DETECTION"
21519,"U0006336","VGA0029242","2026-03-30 07:44:57","2026-04-16 03:18:00","Jamie Wright","Replaced EEL as per request","39715","Volkswagen - 24 Muir Road, Chullora, NSW 2190","","961","Volkswagen Group Australia","CO-1763","Volkswagen Group Australia","2026-03-30","2026-04-30","","","1162.0000","116.2000","1278.2000",0.00,"AUTHORISED","T-36367","SQ-0717 Works","36367","COMPLETE","","Repair","R DETECTION"
21518,"U0006335","Please email Adam Mu","2026-03-30 07:42:46","2026-04-16 03:18:00","Jamie Wright","As per accepted defect quote QD-1576 dated 14-10-2025.
Following completion of the five-yearly inspection and testing of the fire detection and alarm system at 54–72 Kingsgrove Road, Belmore, please see a detailed summary of our findings below.
1. System Performance (Compliant Items)
•	EWIS / Speaker Testing:
All sound pressure level (SPL) readings recorded between 74 dB and 96 dB, which is compliant with audibility requirements under AS 1670.4, ensuring adequate occupant warning levels.

•	Fire Indicator Panel (FIP):
o	All voltages and circuit resistances tested within acceptable limits.
o	System integrity confirmed with no major faults present.
o	All speakers and warning systems operated as intended.

•	Overall System Condition:
The system is generally in good working order, with the majority of devices responding correctly during testing.
2. Non-Compliances & Defects Identified
The following items require attention to maintain compliance with AS 1851 (Routine Service of Fire Protection Systems) and AS 1670.1 (Fire Detection Systems):
•	Reception Area:
o	Detector 43 displaying Fault F08 (Dirty Head)
o	This indicates contamination affecting detector sensitivity
o	Action: Replace detector to restore compliance
•	Café Area:
o	Multiple detectors non-responsive during functional testing
o	Refer to photos provided
•	Hallway Areas:
o	Detectors not responding to test stimulus- Photos issued for reference
•	Male & Female Bathrooms (End of Hallway):
o	Detectors non-responsive
•	Male Bathrooms (Adjacent to Offices):
o	Detectors on both sides not responding
•	Luxury Car Wash / Warehouse (Toilet Area):
o	Detector non-responsive
•	Office Areas:
o	Several detectors non-responsive, as per photos issued
Note: All above non-responsive devices are considered non-compliant under AS 1851, as detectors must operate correctly under test conditions. (photos sent)
3. Coverage Observations (Non-Compliance Risk)
•	We identified areas between factory walkways with no detection coverage.
•	This may not comply with AS 1670.1 Clause requirements for detector spacing and coverage, depending on building classification and fire engineering design.
Recommendation:
Review these areas for additional detector installation to ensure full coverage and compliance.
4. Summary
Overall, the system performed well with:
•	Strong EWIS performance
•	Compliant panel readings
•	Majority of devices operating correctly
However, the non-responsive detectors and identified gaps in coverage should be rectified to ensure:
•	Ongoing compliance with AS 1851
•	System reliability in the event of an emergency
•	Reduced risk exposure for the building
5. Recommended Next Steps
We recommend:
•	Replacement of faulty/contaminated detectors
•	Investigation and rectification of non-responsive devices
•	Review and possible upgrade of detection coverage in walkway areas","39793","Pickles Auctions - 54 & 68-72 Kingsgrove Road, Belmore, NSW 2192","","646","Pickles Auctions","CO-1779","Pickles Auctions","2026-03-30","2026-04-30","","","5420.0100","542.0000","5962.0100",0.00,"AUTHORISED","T-20462","5 Yearly Detection and Warning System (Quote QD-1576)","20462","COMPLETE","","Repair","R DETECTION"
21517,"U0006334","","2026-03-30 07:37:31","2026-04-16 03:18:00","Mariette Henderson","","39A356","PROACT FM - 162 Goulburn Street, Surry Hills - NSW 2010","","","Levitt Robinson","Levitt","Levitt Robinson","2026-03-30","2026-04-30","","","9440.0100","944.0000","10384.0100",0.00,"AUTHORISED","T-31541","39A356 (Service Quote SQ-0549)","31541","COMPLETE","","Callout","R DETECTION"
21220,"U0006291","WP1733609 5D","2026-03-26 12:15:31","2026-04-16 03:18:01","Jamie Wright","Call to site due to strobe flashing at fire control room found network 31 down checked system found network card failed replaced card system now back online photos and documents","39A685","MONDC - 13 Bushmaster Avenue, Moorebank, NSW 2170","","","Primary Connect","CO-2529","Primary Connect","2026-03-26","2026-04-30","","","5096.0000","509.6000","5605.6000",0.00,"AUTHORISED","T-36466","fire red light flashing at outside Gatehouse C","36466","COMPLETE","","Callout","R DETECTION"
21101,"U0006252","PO6776751_201010","2026-03-25 18:55:18","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-1467 dated 16-09-2025.","39667","Abbott Industrial Centre - Building A - 152 Miller Road, Chester Hill, NSW 2162","","","The Trust Company (Australia) Limited as custodian for Barings Australia Property Pty Ltd ATF Barings IFI Sub Trust 9","CO-038","C.B Richard Ellis Pty Ltd","2026-03-25","2026-04-30","","","8621.6800","862.1700","9483.8500",0.00,"PAID","T-19373","AFSS Inspection Report August 2025 (Quote QD-1467)","19373","COMPLETE","","Repair","R DETECTION"
21100,"U0006251","NA","2026-03-25 18:54:09","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2007 dated 22-12-2025.","39A525","26 Nelson Road, Yennora, NSW 2161","","351","The Trust Company (Australia) Limited ATF FIP Hold 1 Trust","CO-2127","Agit Investment P/L ( Previously Fife Capital)","2026-03-25","2026-04-30","","","563.2300","56.3200","619.5500",0.00,"AUTHORISED","T-32473","FIP Monthly defect repairs (Quote QD-2007)","32473","COMPLETE","","Repair","R DETECTION"
21099,"U0006250","Fidah Shrestha - AFS","2026-03-25 18:52:57","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2075 - FIP dated 08-01-2026.","39A459","Good Pair Days - 11 Enterprise Drive, Glendenning, NSW 2150","","181","C/- HT Bawdens NSW Pty Ltd","CO-1584","Bawdens NSW Pty Ltd","2026-03-25","2026-04-30","","","469.9900","47.0000","516.9900",0.00,"PAID","T-32648","Monthly Battery defects (Quote QD-2075 - FIP)","32648","COMPLETE","","Repair","R DETECTION"
21098,"U0006249","Fidah Shrestha - AFS","2026-03-25 18:51:08","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2146 dated 20-01-2026.","39A459","Good Pair Days - 11 Enterprise Drive, Glendenning, NSW 2150","","181","C/- HT Bawdens NSW Pty Ltd","CO-1584","Bawdens NSW Pty Ltd","2026-03-25","2026-04-30","","","448.0000","44.8000","492.8000",0.00,"PAID","T-32649","AFSS Inspection report Jan 2026 (Quote QD-2146)","32649","COMPLETE","","Repair","R DETECTION"
21097,"U0006248","Purchase Order No 02","2026-03-25 18:49:39","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2404 dated 25-02-2026.","39978","COLES RRM - 54 Templar Road, Erskine Park, NSW 2759","","703","Retail Ready Operations Australia","CO-2099","Retail Ready Operations Australia","2026-03-25","2026-04-30","","","660.5100","66.0500","726.5600",0.00,"AUTHORISED","T-32681","FIP Battery Fault replacement (Quote QD-2404)","32681","COMPLETE","","Repair","R DETECTION"
21096,"U0006247","Rodney","2026-03-25 18:48:53","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2400 dated 25-02-2026.","39943","Ballarat House - 68-72 Wentworth Avenue, Surry Hills, NSW 2010","","571","Moruben Nominees Pty Limited","CO-1931","Moruben Nominees Pty Limited","2026-03-25","2026-04-30","","","426.0000","42.6000","468.6000",0.00,"PAID","T-32686","FIP Battery replacement (Quote QD-2400)","32686","COMPLETE","","Repair","R DETECTION"
21095,"U0006246","50622770","2026-03-25 18:48:06","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2406 dated 25-02-2026.","39559","Goodman Fielder - 16 Templar Rd, Erskine Park, NSW 2759","","391","Goodman Fielder Consumer Foods Pty Ltd","CO-154","Goodman Fielder Consumer Foods Pty Ltd","2026-03-25","2026-04-30","","","657.4300","65.7400","723.1700",0.00,"AUTHORISED","T-32687","FIP Monthly Battery defects (Quote QD-2406)","32687","COMPLETE","","Repair","R DETECTION"
21094,"U0006245","GMKN1","2026-03-25 18:47:20","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2408 dated 25-02-2026.","39A770","GMK Logistics - 82 Rodeo Rd, Gregory Hills NSW 2557","","","G.M. Kane & Sons Pty Ltd","*None","GMK Logistics","2026-03-25","2026-04-30","","","558.9600","55.9000","614.8600",0.00,"PAID","T-32688","FIP Monthly Battery defects (Quote QD-2408)","32688","COMPLETE","","Repair","R DETECTION"
21093,"U0006244","Sally Roth AFSS","2026-03-25 18:46:42","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2257 dated 06-02-2026.","39579","15-19 McPherson St, Banksmeadow, NSW 2019","","CO-1621","Roth Industrial","*None","Roth Industries","2026-03-25","2026-04-30","","","3622.5000","362.2500","3984.7500",0.00,"AUTHORISED","T-32689","Annual defect investigation/repairs (Quote QD-2257)","32689","COMPLETE","","Repair","R DETECTION"
21092,"U0006243","Work Order Number W1","2026-03-25 18:44:26","2026-04-16 03:18:02","Jade Ogony","As per accepted defect quote QD-2403 dated 25-02-2026.","39A810","338-350 Woodpark Rd, Smithfield","","","The Trustee for Smithfield Industrial Property Trust","CO-070","Knight Frank Australia Pty","2026-03-25","2026-04-30","","","343.0000","34.3000","377.3000",0.00,"PAID","T-32690","FIP Battery defects (Quote QD-2403)","32690","COMPLETE","","Repair","R DETECTION"
