Task Ref,Task Name,Task Client,Task Property,Task Category,Task Service Group,Task Assigned To,Quoted Cost,Quoted Sell,Quoted Profit,Quoted Margin,Estimated Cost,Estimated Sell,Estimated Hours,Committed Cost,Committed Hours,Revised Cost,Revised Sell,Revised Profit,Revised Margin,Revised Hours,Uninvoiced,Left to be incurred,Billable,Net Billable,Actual Cost,Invoiced,Invoiced Credit,Net Invoiced,Actual Profit,Actual Margin,Actual Hours,Cash Position,Cumulative Actual Cost,Cumulative Net Invoiced,Activity Actual Cost,Activity Net Invoiced
T-26046,AFSS Inspection Report September 2025 (Quote QD-1639),Lendlease Real Estate Investments Ltd C/- JLL,"28 Percival Road, Smithfield, NSW 2164",Repair,R DETECTION,Gordon Jenkins,8099.83,10056.49,1956.66,19.46%,5870.12,10056.49,0.00,674.64,0.00,8109.10,10056.49,1947.39,19.36%,0.00,10056.49,6544.76,0.00,0.00,1564.34,0.00,0.00,0.00,-1564.34,,12.03,-1564.34,1564.34,0.00,0.00,0.00
T-27903,FAS Fault,Goodman Property Services (Aust) Pty Limited SC01822,"AU282 - 3 McPherson Street, Banksmeadow NSW 2019",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,260.00,0.00,916.49,0.00,-916.49,,0.00,0.00,260.00,0.00,0.00,656.49,0.00,0.00,0.00,-656.49,,5.05,-656.49,656.49,0.00,0.00,0.00
T-31120,We note the following defect has been indentified following our Annual testing. FIP… (Quote QD-2265),York II Sub Trust,"1 YORK - 1 York Street, Sydney, NSW 2000",Repair,R DETECTION,Nu Unasa,423.54,726.92,303.39,41.74%,0.00,0.00,0.00,184.98,0.00,947.64,726.92,-220.71,-30.36%,0.00,0.00,184.98,0.00,0.00,762.66,726.92,0.00,726.92,-35.73,-4.92%,5.87,-35.73,762.66,726.92,0.00,0.00
T-31187,FAS Fault investigation,One Commercial,"149 Orchard Road, Chester Hill NSW 2162",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,394.20,0.00,864.37,0.00,-864.37,,0.00,0.00,394.20,0.00,0.00,470.17,0.00,0.00,0.00,-470.17,,3.62,-470.17,470.17,0.00,0.00,0.00
T-31417,AFSS Inspection report December 2025 (Quote QD-2003),Uturn Reuse Pty Limited,"Cotton King - 95 Bonds Road,  Punchbowl, NSW 2196",Repair,R DETECTION,Nu Unasa,2504.27,3133.23,628.96,20.07%,1862.94,3133.23,0.00,746.67,0.00,3250.94,3133.23,-117.71,-3.76%,0.00,3133.23,2609.61,0.00,0.00,641.33,0.00,0.00,0.00,-641.33,,4.93,-641.33,641.33,0.00,0.00,0.00
T-32692,FIP Battery replacement (Quote QD-2402),Goodman Property Services (Aust) Pty Limited SC01822,"Precinct 5 AU186 - 3 Tundra Close, Kemps Kreek, NSW 2178",Repair,R DETECTION,Nu Unasa,496.08,660.51,164.43,24.89%,0.00,0.00,0.00,448.58,1.25,448.58,660.51,211.93,32.09%,1.25,660.51,448.58,660.51,660.51,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-33571,testing ,FlameSafe Fire Protection (Testing Purposes),"FlameSafe Rydalmere Office -  Unit 2, 8-10 Mary Parade, RYDALMERE, 2116",Callout,R DETECTION,Office Account,0.00,0.00,0.00,,1251.00,1138.00,0.00,430.33,0.03,2506.33,2217.00,-289.33,-13.05%,0.03,2217.00,1681.33,1079.00,1079.00,825.00,0.00,0.00,0.00,-825.00,,0.00,0.00,825.00,0.00,0.00,0.00
T-34136,Installation of speaker in WH/MSR,FlameSafe Warranty (Contracts),"(AU642) 70 Euston Road, Alexandria",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,3.00,0.00,889.17,0.00,-889.17,,0.00,0.00,3.00,0.00,0.00,886.17,0.00,0.00,0.00,-886.17,,6.82,-886.17,886.17,0.00,0.00,0.00
T-35476,Battery monthly defects (Quote QD-2064 - FIP),Centuria Institutional Investment No. 3 Pty Ltd ATF AIR Enfield Trust,"Centuria - K&S Freighters - 1 Hope Street, Strathfield South, NSW 2136",Repair,R DETECTION,Tim Hu,357.88,469.99,112.11,23.85%,0.00,0.00,0.00,147.88,0.00,423.05,469.99,46.94,9.99%,0.00,469.99,147.88,469.99,469.99,275.17,0.00,0.00,0.00,-275.17,,2.12,-275.17,275.17,0.00,0.00,0.00
T-35836,Fault and Earth fault,Impact International,"Impact International - Cnr Victoria and O’Connell Street, Smithfield,  NSW 2164",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,229.50,553.80,324.30,58.56%,0.00,553.80,0.00,553.80,553.80,229.50,0.00,0.00,0.00,-229.50,,1.25,-162.50,229.50,0.00,0.00,0.00
T-36038,QD-2126... Works,Quality Green Metro Pty Ltd as Trustee for Quality Green Metro Unity Trust,"3M - 1A Rivett Road, North Ryde, NSW 2113",Repair,R DETECTION,Gordon Jenkins,516.24,657.49,141.25,21.48%,0.00,0.00,0.00,103.00,0.00,298.00,0.00,-298.00,,0.00,0.00,103.00,0.00,0.00,195.00,0.00,0.00,0.00,-195.00,,1.50,-195.00,195.00,0.00,195.00,0.00
T-38842,QD-2660 Works,Roth Industrial,"15-19 McPherson St, Banksmeadow, NSW 2019",Repair,R DETECTION,Gordon Jenkins,1116.00,1660.00,544.00,32.77%,412.33,1660.00,0.00,113.67,0.87,526.00,1660.00,1134.00,68.31%,0.87,1660.00,526.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-39238,QD-2676 Works,Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170",Repair,R DETECTION,Gordon Jenkins,1111.00,1345.20,234.20,17.41%,0.00,0.00,0.00,1069.00,2.10,1069.00,1345.20,276.20,20.53%,2.10,1345.20,1069.00,1345.20,1345.20,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-39503,Call Out - FIP Fault ,Goodman Property Services (Aust) Pty Limited  SC01822,"Goodman AU106 - M5 Industry Park - Building 2B/2C - 1 Moorebank Avenue, MoorebankNSW 2071",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,554.50,1.75,554.50,460.00,-94.50,-20.54%,1.75,460.00,554.50,460.00,460.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-15015,Annual testing defects - Smoke Alarm (Quote QD-0998),CSOF Sub Trust No. 2 ABN 52 847 795 285,"11 Hexham Place, Wetherill Park, NSW 2164",Repair,R DETECTION,John Minai,1820.00,2360.00,540.00,22.88%,1733.33,2360.00,0.00,0.00,0.00,1820.00,2360.00,540.00,22.88%,0.00,2360.00,1733.33,0.00,0.00,86.67,0.00,0.00,0.00,-86.67,,0.67,-86.67,86.67,0.00,0.00,0.00
T-25643,Pertronics FIP has a constant tone urgent investigation,FlameSafe Warranty (Contracts),"DLP Aspect Industrial Estate 2 Birragu Close, Kemps Creek",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,130.00,460.00,330.00,71.74%,0.00,460.00,0.00,460.00,460.00,130.00,0.00,0.00,0.00,-130.00,,1.00,-130.00,130.00,0.00,0.00,0.00
T-20074,Emergency Evacuation for KCDC,Primary Connect,"Primary connect- EPXD- 36 Templar Road, Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-19181,6-7 John Morphett Pl - Mechanical Air testing (39523),Linfox Australia,"Linfox Erskine Park -  6-7 John Morphett Drive (1 Fox Lane), Erskine Park, NSW 2759",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,381.34,720.00,338.66,47.04%,0.00,720.00,0.00,720.00,720.00,381.34,0.00,0.00,0.00,-381.34,,2.93,-381.34,381.34,0.00,0.00,0.00
T-25642,Sam has called requesting attendance to investigate faults on the mimic panel. 2025.,Primo Foods Pty Ltd,"Primo Small Goods - 1 Moondo Street, Greenacre, NSW 2190",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,162.50,460.00,297.50,64.67%,0.00,460.00,0.00,460.00,460.00,162.50,0.00,0.00,0.00,-162.50,,1.25,-162.50,162.50,0.00,0.00,0.00
T-14809,PM2025/07 R DETECTION (39A513) ,Australian Catholic Universities (ACU),"ACU - Building 600-650 - 25a Baker Road, Strathfield, NSW 2055",I&T,R DETECTION,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-32314,Fire Control Room Battery past service life,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,543.62,0.00,1031.12,460.00,-571.12,-124.16%,0.00,460.00,543.62,460.00,460.00,487.50,0.00,0.00,0.00,-487.50,,3.75,-487.50,487.50,0.00,0.00,0.00
T-28602,investigate fire alarm at building 14,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-34024,training of isolation for security,State Library of NSW,"State Library of NSW - 1 Shakespeare Place, Sydney, NSW 2000",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,238.33,0.00,-238.33,,0.00,0.00,0.00,0.00,0.00,238.33,0.00,0.00,0.00,-238.33,,1.83,-238.33,238.33,0.00,0.00,0.00
T-10160,5 Yearly Panel and Warning System (Quote QD-0293),Grand Hill Pty Ltd,"Northcote Pottery Australia - 2 Distribution Place, Seven Hills, NSW 2147",Repair,R DETECTION,,1516.00,1970.00,454.00,23.05%,1516.00,1970.00,0.00,0.00,0.00,1516.00,1970.00,454.00,23.05%,0.00,1970.00,1516.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-01288,Isolation on 20th October,Goodman Fielder Consumer Foods Pty Ltd,"Goodman Fielder - 16 Templar Rd, Erskine Park, NSW 2759",Callout,R DETECTION,,0.00,0.00,0.00,,460.00,460.00,0.00,0.00,0.00,460.00,460.00,0.00,0.00%,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-38083,Trip Test,The Trustee for Smithfield Industrial Property Trust,"Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,164.67,460.00,295.33,64.20%,0.00,460.00,0.00,460.00,460.00,164.67,0.00,0.00,0.00,-164.67,,1.27,-164.67,164.67,0.00,164.67,0.00
T-36467,QD-2518 Works,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU059 Lidcombe Business Park (Buildings A to F) - 3-29 Birnie Avenue  LIDCOMBE, 2141, NSW",Repair,R DETECTION,John Minai,1291.39,1733.41,442.02,25.50%,1291.39,1733.41,0.00,0.00,0.00,1291.39,1733.41,442.02,25.50%,0.00,1733.41,1291.39,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-14356,5 Yearly Detection/Warning System,Jones Lang LaSalle (NSW) Pty Ltd,"36 Honeycomb Drive, Eastern Creek, NSW 2766",Repair,R DETECTION,Ryan Robinson,0.00,0.00,0.00,,1.00,3500.00,0.00,0.00,0.00,1.00,3500.00,3499.00,99.97%,0.00,3500.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-26441,"Fire Isolations 201 Coward Street Mascot (side A). Levels GF, 1, 3 and 4.",The Trust Company (Australia) Ltd ATF Ascendas Business Park Trust No.1 C/- Colliers,"Metrolink Corporate Park - 197-201 Coward Street  Mascot, NSW 2020",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,520.00,4.00,520.00,1160.00,640.00,55.17%,4.00,1160.00,520.00,1160.00,1160.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-14097,APFS Report 2025 - OWS (Quote QD-0954),Aliro Trusco 1 Pty Ltd ATF the 159-163 Newton Road Trust C/- Colliers,"AUSTCOR - 159-163 Newton Road  Wetherell Park, NSW 2164",Repair,R DETECTION,Gordon Jenkins,1265.00,1630.00,365.00,22.39%,1113.33,1630.00,0.00,0.00,0.00,1265.00,1630.00,365.00,22.39%,0.00,1630.00,1113.33,0.00,0.00,151.67,0.00,0.00,0.00,-151.67,,1.17,-151.67,151.67,0.00,0.00,0.00
T-11659,5 Yearly Testing 2025 - Warning System. (Quote QD-0831),TCAL ATF Altis Bulky Sub Trust 3 Erskine Park C/- Knight Frank Australia Pty Ltd,"CEVA - 9-11 Distribution Drive, Orchard Hills, NSW 2748",Repair,R DETECTION,Gordon Jenkins,4600.00,5980.00,1380.00,23.08%,4600.00,5980.00,0.00,0.00,0.00,4600.00,5980.00,1380.00,23.08%,0.00,5980.00,4600.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-35777,Fire Isolations,The Trustee for Charter Hall Prime Industrial Fund C/- CBRE Pty Ltd CBRE,"Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,1144.00,8.80,5009.34,0.00,-5009.34,,8.80,0.00,1144.00,0.00,0.00,3865.34,0.00,0.00,0.00,-3865.34,,29.73,-3865.34,3865.34,0.00,1317.34,0.00
T-33531,Fire Indicator Panel HVAC AFSS Defect repairs (Quote QD-1881),Mandarin Developments Pty Ltd C-/ Colliers International (NSW) Pty Ltd,"Mandarin Centre - 65 Albert Ave, Chatswood NSW 2067",Repair,R DETECTION,Nu Unasa,2090.00,2865.00,775.00,27.05%,2090.00,2865.00,0.00,665.00,0.00,2755.00,2865.00,110.00,3.84%,0.00,2865.00,2755.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-16304,Pump 1 suction tamper in alarm - Investigate,Primary Connect,"KCDC- Oakdale West - Warehouse 4E  - 6 Cuprum Close, Kemps Creek, NSW 2178",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,197.17,460.00,262.83,57.14%,0.00,460.00,0.00,460.00,460.00,197.17,0.00,0.00,0.00,-197.17,,1.52,-197.17,197.17,0.00,0.00,0.00
T-33437,investigate and clear the audio fault on the EWIS Panel,State Library of NSW,"State Library of NSW - 1 Shakespeare Place, Sydney, NSW 2000",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,330.00,330.00,100.00%,0.00,330.00,0.00,330.00,330.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-27444,PM2025/12 R DETECTION (39000) ,FlameSafe Fire Protection (Testing Purposes),"FlameSafe Rydalmere Office -  Unit 2, 8-10 Mary Parade, RYDALMERE, 2116",I&T,R DETECTION,,0.00,0.00,0.00,,0.00,0.00,1.50,0.00,0.00,0.00,0.00,0.00,,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-39502,Call-out - FIP Faults,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-35658,PM2026/03 Annual R DETECTION (39318) ,Valensole Home Units Pty Ltd,"Valensole Home Units - 22 Greenoaks Avenue, Darling Point, NSW 2027",I&T,R DETECTION,Haider Al-Heyoury,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-35278,AFSS Defect report Feb 2026 (Quote QD-2369),Clara & Matthew Pty Ltd,"609-615 Harris Street, Ultimo, NSW 2007",Repair,R DETECTION,,3110.00,3700.01,590.01,15.95%,3110.00,3700.01,0.00,0.00,0.00,3110.00,3700.01,590.01,15.95%,0.00,3700.01,3110.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-32680,Training Evacuation exercise for 25th March 2026 ,Contec Properties Pty Ltd,"372-394 Elizabeth Street, Surry Hills, NSW 2010",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,460.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-20069,Fault on Fire Panel,State Library of NSW,"State Library of NSW - 1 Shakespeare Place, Sydney, NSW 2000",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,330.00,330.00,100.00%,0.00,330.00,0.00,330.00,330.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
T-37159,QD-2520 Works,FlameSafe Warranty (Contracts),"Jacfin Ricoh - 4  Telopea Place, Eastern Creek, NSW 2766",Repair,R DETECTION,Gordon Jenkins,1125.00,1325.00,200.00,15.09%,756.67,1325.00,0.00,368.33,2.83,1125.00,1325.00,200.00,15.09%,2.83,1325.00,1125.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
