Task Ref,Task Name,Task Client,Task Property,Task Category,Task Service Group,Task Assigned To,Quoted Cost,Quoted Sell,Quoted Profit,Quoted Margin,Estimated Cost,Estimated Sell,Estimated Hours,Committed Cost,Committed Hours,Revised Cost,Revised Sell,Revised Profit,Revised Margin,Revised Hours,Uninvoiced,Left to be incurred,Billable,Net Billable,Actual Cost,Invoiced,Invoiced Credit,Net Invoiced,Actual Profit,Actual Margin,Actual Hours,Cash Position,Cumulative Actual Cost,Cumulative Net Invoiced,Activity Actual Cost,Activity Net Invoiced
T-00902,"418A Elizabeth Street  SURRY HILLS, 2010, NSW",X Commercial,"Elizabeth Towers -  418A Elizabeth Street, Surry Hills, NSW 2010",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,750.90,750.90,100.00%,0.00,0.00,0.00,0.00,-750.90,0.00,1830.90,1080.00,750.90,750.90,100.00%,0.00,750.90,0.00,750.90,0.00,0.00
T-00904,AU181 -Homemaker Centre Alexandria,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1500.00,2540.00,1040.00,40.94%,0.00,0.00,0.00,0.00,0.00,1500.00,2540.00,0.00,2540.00,1040.00,40.94%,0.00,2540.00,1500.00,2540.00,0.00,0.00
T-00910,AU870 - Chep,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU870 - Chep - 13-15 Interchange Drive, Eastern Creek - NSW 2766",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,1.67,0.02,2.67,460.00,457.33,99.42%,0.02,0.00,1.67,0.00,0.00,1.00,460.00,0.00,460.00,459.00,99.78%,0.00,460.00,1.00,460.00,0.00,0.00
T-00912,Building 2 (Commercial bldg & Hospital etc) Kiaora Lands,BGIS Pty Ltd,"BGIS Kiaora Lands - 451 New South Head Road, Double Bay, NSW  2028",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,136.50,1.05,136.50,630.00,493.50,78.33%,1.05,0.00,136.50,0.00,0.00,0.00,630.00,0.00,630.00,630.00,100.00%,0.00,630.00,0.00,630.00,0.00,0.00
T-00913,Installation of Pump Run Monitoring,C/- Colliers Int’l Pty Ltd,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,445.66,3.87,445.66,2353.00,1907.34,81.06%,3.87,0.00,445.66,0.00,0.00,0.00,2353.00,0.00,2353.00,2353.00,100.00%,0.00,2353.00,0.00,2353.00,0.00,0.00
T-00915,"WH 1, 2, 3, 4",Dexus Property Services P/L (DXPS),"39A619 WH 1, 2, 3, 4 2a Basalt Road Pemulwuy",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,184.17,1.42,184.17,960.00,775.83,80.82%,1.42,0.00,184.17,0.00,0.00,0.00,960.00,0.00,960.00,960.00,100.00%,0.00,960.00,0.00,960.00,0.00,0.00
T-00916,Interex & Infinet Group,Vanessa Aus Sub TC Pty Ltd ATF Vanessa Aus Sub Trust C/- CBRE Pty Ltd NSW Rents Trust,"1A The Crescent,  Kingsgrove, NSW 2208",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,1000.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,1000.00,0.00,1000.00,1000.00,100.00%,0.00,1000.00,0.00,1000.00,0.00,0.00
T-00917,AU870 - Chep,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU870 - Chep - 13-15 Interchange Drive, Eastern Creek - NSW 2766",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,460.00,460.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,460.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,0.00,0.00
T-00919,Jacaranda (previoulsy UniLodge),Australis Facilities Management Pty Ltd,"Jacaranda - 159-171 Anzac Parade  KENSINGTON, 2033, NSW",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,720.00,719.00,99.86%,0.00,0.00,0.00,0.00,0.00,1.00,720.00,0.00,720.00,719.00,99.86%,0.00,720.00,1.00,720.00,0.00,0.00
T-00927,Upgrade Amplifer,Logos Property Management Pty Limited,"LOGOS - 246 Miller Road, Villawood, NSW 2165",Callout,R DETECTION,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,1.00,4000.00,3999.00,99.97%,0.00,0.00,0.00,0.00,0.00,1.00,4000.00,0.00,4000.00,3999.00,99.97%,0.00,4000.00,1.00,4000.00,0.00,0.00
T-00929,Replace Power supply for charger fault,Logos Property Management Pty Limited,"LOGOS - 246 Miller Road, Villawood, NSW 2165",Callout,R DETECTION,,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,2260.00,2260.00,100.00%,0.00,0.00,0.00,0.00,0.00,0.00,2260.00,0.00,2260.00,2260.00,100.00%,0.00,2260.00,0.00,2260.00,0.00,0.00
T-00940,Warrick Lane,Stanton Hillier Parker,"Warrick Lane - 81-95 Main Street, Blacktown, NSW 2148",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,360.00,3.60,361.00,950.00,589.00,62.00%,3.60,0.00,360.00,0.00,0.00,1.00,950.00,0.00,950.00,949.00,99.89%,0.00,950.00,1.00,950.00,0.00,0.00
T-00942,Abbott Industrial Centre,The Trust Company (Australia) Limited as custodian for Barings Australia Property Pty Ltd ATF Barings IFI Sub Trust 9,"Abbott Industrial Centre - Building B - 152 Miller Road, Chester Hill, NSW 2162",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,108.33,1.08,108.33,800.00,691.67,86.46%,1.08,0.00,108.33,0.00,0.00,0.00,800.00,0.00,800.00,800.00,100.00%,0.00,800.00,0.00,800.00,0.00,0.00
T-00953,Unitrans,Logos Property Management Pty Limited,"LOGOS - Unitrans -  2-4 Harvey Road, Kings Park, NSW 2148",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,619.12,1.92,620.12,702.00,81.88,11.66%,1.92,0.00,619.12,0.00,0.00,1.00,702.00,0.00,702.00,701.00,99.86%,0.00,702.00,1.00,702.00,0.00,0.00
T-00964,Unit 8 Essilor Detector,Knight Frank Australia Pty Ltd,"Gateway Business Park - Unit 3/9/10 - 63-79 Parramatta Road, Silverwater, NSW 2128",Callout,R DETECTION,Ryan Robinson,0.00,0.00,0.00,,0.00,0.00,0.00,183.33,1.83,696.83,990.00,293.17,29.61%,1.83,0.00,183.33,0.00,0.00,513.50,990.00,0.00,990.00,476.50,48.13%,0.00,990.00,513.50,990.00,0.00,0.00
T-00991,Callout,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU019 - Transtech Business Park - 12 Mars Road, Lane Cove West, NSW 2066",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,73.34,0.73,153.34,680.00,526.66,77.45%,0.73,0.00,73.34,0.00,0.00,80.00,680.00,0.00,680.00,600.00,88.24%,0.00,680.00,80.00,680.00,0.00,0.00
T-01029,Multiple Faults ,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU820 - City West Office Park - Building A (Channel 10) -1-31 Saunders Street PYRMONT, NSW, 2009,",Callout,R DETECTION,Darren Brailey,0.00,0.00,0.00,,0.00,0.00,0.00,145.00,1.45,212.00,560.00,348.00,62.14%,1.45,0.00,145.00,0.00,0.00,67.00,560.00,0.00,560.00,493.00,88.04%,0.00,560.00,67.00,560.00,0.00,0.00
T-01061,"Setup 39A537 39A537 Coles CFC 154 Cowpasture Road, Wetherill Park",Corporate Project Solutions,"Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164",Callout,R DETECTION,Nu Unasa,3136.60,4203.58,1066.98,25.38%,0.00,0.00,0.00,2192.60,15.50,3262.60,4581.00,1318.40,28.78%,15.50,0.00,2192.60,0.00,0.00,1070.00,4581.00,0.00,4581.00,3511.00,76.64%,0.00,4581.00,1070.00,4581.00,0.00,0.00
T-01063,Fault on FIP,The Trustee for Gemstone Lane Cove Asset,"11-13 Orion Road, Lane Cove West, NSW 2066",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,41.67,0.42,101.67,560.00,458.33,81.84%,0.42,0.00,41.67,0.00,0.00,60.00,560.00,0.00,560.00,500.00,89.29%,0.00,560.00,60.00,560.00,0.00,0.00
T-01068,Fault on FIP,HJ & CI Investments Pty Ltd ATF HJ and CI Investment Unit Trust,"Astron Plastics - 6 Brooks Road, Ingleburn, NSW 2565",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,250.00,2.50,310.00,560.00,250.00,44.64%,2.50,0.00,250.00,0.00,0.00,60.00,560.00,0.00,560.00,500.00,89.29%,0.00,560.00,60.00,560.00,0.00,0.00
T-01071,Faults on FIP,C/- MMJ Sydney Pty Ltd,"3M - 1A Rivett Road, North Ryde, NSW 2113",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,195.00,1.95,382.88,730.00,347.12,47.55%,1.95,0.00,195.00,0.00,0.00,187.88,730.00,0.00,730.00,542.12,74.26%,0.00,730.00,187.88,730.00,0.00,0.00
T-01090,Fite Trip and Batteries,Goodman Property Services (Aust) Pty Limited SC01822,"GoodmanAU079 Greystanes Park East - (BLDG 4) 3M, 5 Reconciliation Rise PEMULWUY, 2145, NSW",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,150.00,1.50,519.96,724.00,204.04,28.18%,1.50,0.00,150.00,0.00,0.00,369.96,724.00,0.00,724.00,354.04,48.90%,0.00,724.00,369.96,724.00,0.00,0.00
T-01124,9 Faults on FIP,Sterilisation Technologies Australia Pty Ltd,"Frutex - 20 St Albans Road, Kingsgrove, NSW 2208",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,333.33,3.33,862.62,1553.27,690.65,44.46%,3.33,0.00,333.33,0.00,0.00,529.29,1553.27,0.00,1553.27,1023.98,65.92%,2.40,1313.27,529.29,1553.27,0.00,0.00
T-01127,APFS Report 2024 - Detection,The Trust Company (Australia) Ltd ATF Ascendas Business Park Trust No.1 C/- Colliers,"Metrolink Corporate Park - 197-201 Coward Street  Mascot, NSW 2020",Callout,R DETECTION,John Minai,1354.40,1354.40,0.00,0.00%,0.00,0.00,0.00,843.91,5.68,843.91,1354.40,510.49,37.69%,5.68,0.00,843.91,0.00,0.00,0.00,1354.40,0.00,1354.40,1354.40,100.00%,0.00,1354.40,0.00,1354.40,0.00,0.00
T-01196,39A435 (Quote SQ24-0003),Goodman Property Services (Aust) Pty Limited SC01822,"GoodmanAU079 Greystanes Park East - (BLDG 4) 3M, 5 Reconciliation Rise PEMULWUY, 2145, NSW",Repair,R DETECTION,John Minai,0.00,690.00,690.00,100.00%,0.00,0.00,0.00,197.17,1.52,473.82,0.00,-473.82,,1.52,0.00,197.17,0.00,0.00,276.65,0.00,0.00,0.00,-276.65,,0.92,-91.67,276.65,0.00,0.00,0.00
T-01255,39794 (Quote QD-0026),Dexus Property Services P/L (DXPS),39794 2 Bellevue Circuit Pemulwuy,Repair,R DETECTION,Darren Brailey,618.38,665.89,47.51,7.14%,0.00,0.00,0.00,396.71,1.83,396.71,665.89,269.18,40.42%,1.83,0.01,396.71,0.01,0.01,0.00,665.88,0.00,665.88,665.88,100.00%,0.00,665.88,0.00,665.88,0.00,0.00
T-01257,20 mons Rd Westmead,MHPHA Marsden Street Pty Ltd,"20-22 Mons Road, Westmead, NSW 2145",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,756.50,3.80,1056.50,680.00,-376.50,-55.37%,3.80,0.00,756.50,0.00,0.00,300.00,680.00,0.00,680.00,380.00,55.88%,0.00,680.00,300.00,680.00,0.00,0.00
T-01292,Brady- Fault on FIP,Dexus Property Services P/L (DXPS),39794 2 Bellevue Circuit Pemulwuy,Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,628.67,4.27,926.34,2616.00,1689.66,64.59%,4.27,0.00,628.67,0.00,0.00,297.67,2616.00,0.00,2616.00,2318.33,88.62%,2.97,2319.33,297.67,2616.00,0.00,0.00
T-01321,Call out,Excel Building Management,"Pacific Square - 717 Anzac Parade, Maroubra, NSW 2035",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,262.40,1135.00,872.60,76.88%,0.00,0.00,0.00,0.00,0.00,262.40,1135.00,0.00,1135.00,872.60,76.88%,1.40,995.00,262.40,1135.00,0.00,0.00
T-01328,Faults of FIP,Sydney Trains,"(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015",Callout,R DETECTION,John Minai,0.00,0.00,0.00,,0.00,0.00,0.00,3079.22,10.40,5014.77,4747.50,-267.27,-5.63%,10.40,0.00,3079.22,0.00,0.00,1935.55,4747.50,0.00,4747.50,2811.95,59.23%,2.08,4539.17,1935.55,4747.50,0.00,0.00
T-01329,FN-20122,Bishops Real Estate Pty Ltd,"Webstar/Bluestar - Units 1, 2 & 3 - 83 Derby Street, Silverwater, 2128 - NSW 237",Callout,R DETECTION,Gordon Jenkins,0.00,0.00,0.00,,0.00,0.00,0.00,65.00,0.50,195.18,2160.00,1964.82,90.96%,0.50,0.00,65.00,0.00,0.00,130.18,2160.00,0.00,2160.00,2029.82,93.97%,0.00,2160.00,130.18,2160.00,0.00,0.00
T-01367,Unit 14 - Fault,Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019",Callout,R DETECTION,Ryan Robinson,0.00,0.00,0.00,,0.00,0.00,0.00,245.34,1.33,245.34,460.00,214.66,46.67%,1.33,0.00,245.34,0.00,0.00,0.00,460.00,0.00,460.00,460.00,100.00%,0.00,460.00,0.00,460.00,0.00,0.00
T-01368,P-0283 (Quote QD-0040),The Trust Company (Australia) Limited as custodian for Barings Australia Property Pty Ltd ATF Barings IFI Sub Trust 9,"Abbott Industrial Centre - Building A - 152 Miller Road, Chester Hill, NSW 2162",Repair,R DETECTION,John Minai,844.60,941.98,97.38,10.34%,0.00,0.00,0.00,221.79,1.27,372.51,941.98,569.47,60.45%,1.27,0.00,221.79,0.00,0.00,150.72,941.98,0.00,941.98,791.26,84.00%,0.00,941.98,150.72,941.98,0.00,0.00
T-01424,39418 A (Quote QD-0049),Goodman Property Services (Aust) Pty Limited SC01822,"Goodman AU543 - Zirco Data - 15-23 Quarry Road, Erskine Park, NSW 2759",Repair,R DETECTION,Nu Unasa,0.00,78706.24,78706.24,100.00%,0.00,0.00,0.00,3562.00,27.40,120897.99,78706.24,-42191.75,-53.61%,27.40,0.00,3562.00,0.00,0.00,117335.99,78706.24,0.00,78706.24,-38629.75,-49.08%,0.00,78706.24,117335.99,78706.24,0.00,0.00
T-01455,Program FIP,Australis Facilities Management Pty Ltd,"Jacaranda - 159-171 Anzac Parade  KENSINGTON, 2033, NSW",Callout,R DETECTION,Nu Unasa,0.00,0.00,0.00,,0.00,0.00,0.00,442.01,3.40,2362.01,1968.00,-394.01,-20.02%,3.40,0.00,442.01,0.00,0.00,1920.00,1968.00,0.00,1968.00,48.00,2.44%,0.00,1968.00,1920.00,1968.00,0.00,0.00
