Task Ref,Task Property,Task Category,Task Service Group,Task Round,Task Supporting Technicians,Task Description,Task Source Defect Quote Ref,Task Source Service Quote Ref,Task Authorisation Ref,Task Status,Task Author,Task Salesperson,Task Created Date,Task Performed Date,Task Invoiced Date,Task Days to Complete,Task Days to Invoice
T-39354,"Zirco Data -  1 Johnson Road, Campbelltown, NSW 2560",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004003669 - April  ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-39355,"Linfox - 3 Harris Avenue, Marsden Park, NSW 2765",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-29758,"Impact International - Cnr Victoria and O’Connell Street, Smithfield,  NSW 2164",I&T,A FPT PASSIVE,,,Feb 2026 routine servicing (21 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (21),,,"",COMPLETE,Office Account,,29 January   2026,5 February  2026,,7.14,
T-39360,"Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,85FLUSH2600093 - April ,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.37
T-39364,"LAPP - 12 Grevillea Street,  Eastern Creek, NSW 2766",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.19
T-39365,"Rural Fire Brigade - 42 Lamb Street, Glendenning, NSW 2761",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004041645- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39367,"Buildings A, B & C - 29 Davis Road, Wetherill Park, NSW 2000",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000004003256- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39370,"Veolia Water Treatment Plant -  1 East Parade, Fairfield, NSW 2165",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,, 7300543875,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.31
T-39374,"49 Hotham Parade, Artarmon, NSW 2064",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,000000003997918- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.18
T-39376,"(ROC) Rail Operations Centre - Mandible & Wyndham Street, Alexandria, NSW 2015",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,4200392922 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.30
T-39735,ACU - Multiple Buildings,Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,PU078321,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,3.83
T-20067,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",I&T,A DETECTION,,Ryan Robinson,Feb 2026 routine servicing (0 items): Automatic fail-safe devices: Annual  (0),,,"",COMPLETE,Office Account,,16 October   2025,21 October   2025,,5.27,
T-35031,"Jaycar Electronics Group - 46 Eastern Creek Drive, Eastern CreekNSW 2766",I&T,A EELS,,"Ryan Robinson, Bailey Arthur, Hugo","Apr 2026 routine servicing (912 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Six-monthly (456), Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Six-monthly (456)",,,"",COMPLETE,Jade Ogony,,13 March     2026,14 April     2026,,31.89,
T-39343,"Chemist Warehouse - 293 Darling Street, Balmain, NSW 2041",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,"",COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39341,"75 Old Pittwater Road, Brookvale - NSW 2100",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,"",COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39337,"77 Scott Avenue, Leura, NSW 2780",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,"",COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-39339,"19 Sir Jospeh Banks Street, Botany, NSW 1455",Billing,,,,Inspection & Testing - Fixed/Half-yearly 2026-03-01 to 2026-08-31,,,0,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.35
T-34394,"KCDC- Oakdale West - Warehouse 4E  - 6 Cuprum Close, Kemps Creek, NSW 2178",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-03-01 to 2026-03-31,,,WP1254014   PP389765,COMPLETE,,,10 March     2026,10 March     2026,7 April     2026,0.00,28.08
T-35806,"ESR - 1 Monier Square, Villawood - NSW 2165",Repair,FUEL,,,RE Fuel,,SQ-0686,PO #171657 Change Order #170396.,COMPLETE,Mariette Henderson,,20 March     2026,24 March     2026,9 April     2026,4.00,16.05
T-39394,"Warrick Lane - 81-95 Main Street, Blacktown, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,297WAR2600062- April ,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.38
T-30891,"26 Redfern Street, Wetherill Park",I&T,A EELS,,Grant Edwards,Feb 2026 routine servicing (52 items): Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Annual (52),,,"",COMPLETE,Jade Ogony,,5 February  2026,19 February  2026,,14.25,
T-32500,"TRS - 170 Newton Road, Wetherill Park, NSW 2164",I&T,A FPT PASSIVE,,,"Apr 2026 routine servicing (44 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (43), Fire Rated Horizontal Sliding Doors (AS 1851:2012 Section 12): Six-monthly (1)",,,"",COMPLETE,Office Account,,24 February  2026,5 March     2026,,8.86,
T-32309,"40 Ricketty Road, Mascot, NSW 2020",Callout,R DETECTION,,,FIP Fault investigation,,,"",COMPLETE,Jamie Wright,,23 February  2026,,14 April     2026,,
T-39395,"Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7179165_201010  Yearly PO ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-30890,"26 Redfern Street, Wetherill Park",I&T,A FPT PASSIVE,,,Feb 2026 routine servicing (10 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (10),,,"",COMPLETE,Jade Ogony,,5 February  2026,19 February  2026,,14.16,
T-39397,"AUSTCOR - 159-163 Newton Road  Wetherell Park, NSW 2164",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7176462_201010 - 2027 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-39398,"40 Ricketty Road, Mascot, NSW 2020",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,"",COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.30
T-37192,"Goodman AU568 - Oakdale East Estate - Masonry Building - 2-4 Latitude Drive, Horsley Park, NSW 2175",Callout,R DETECTION,,,FAS Fault - inspect and ensure all is operating correctly.,,,WO: 339373 PO: 592832 CO RQD,COMPLETE,Jamie Wright,,30 March     2026,31 March     2026,9 April     2026,0.98,8.94
T-32252,"TigerPak - 21 Astoria Avenue, Marsden Park, NSW 2765",Repair,R EEL,,,6-monthly Emergency & Exit Lighting,QD-2352,,"",COMPLETE,Patricia Mazzotta,,20 February  2026,31 March     2026,14 April     2026,38.70,14.16
T-36436,"De Bortoli Wines - 24 Cox Place, Glendenning, NSW 2761",Repair,R EEL,,,Emergency and Exit Lighting works,QD-2387(v2),,app. received 20/3/26 from Paul Gallagher,COMPLETE,Patricia Mazzotta,,25 March     2026,1 April     2026,14 April     2026,6.71,13.14
T-34392,"Primary connect- EPXD- 36 Templar Road, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-03-01 to 2026-03-31,,,WP1254121 / PP389795 5D,COMPLETE,,,10 March     2026,10 March     2026,7 April     2026,0.00,28.08
T-35820,"Axalta Coating Systems - 16 Darling Street, Marsden Park, NSW 2765",Repair,R EEL,,,Emergency and Exit Lighting works,QD-2526,,"",COMPLETE,Patricia Mazzotta,,20 March     2026,2 April     2026,14 April     2026,12.86,12.28
T-32243,"KB House - 72-76 Archer Street, Chatswood, NSW 2067",Repair,R PORTABLE,,,Fire Safety Equipment,QD-2313,,app. received from Edward Wu 13/2/23,COMPLETE,Patricia Mazzotta,,20 February  2026,8 April     2026,14 April     2026,46.62,6.29
T-36523,"Centuria - 160 Newton Road, Wetherill Park, NSW 2164",Repair,R SPRINKLER,,,The sprinkler pump number 2 has failed to reach the requirements from the Annual flow testing mechanic to attend and carry out investigations to the motor and water supply. SPRK 2026.,QD-2598,,A20041_2600021,COMPLETE,Dean Shaw,,26 March     2026,27 March     2026,9 April     2026,1.19,12.86
T-37126,"4 Inglis Rd, Ingleburn",Callout,,,,Quote for end of life  Vesda,,,WO: 22543807 PO #1695312,COMPLETE,Mariette Henderson,,30 March     2026,,9 April     2026,,
T-34621,"Blacktown City Council - 81-85 Flushcombe Road, Blacktown, NSW 2148",Callout,R DETECTION,,,EWIS panel showing fault and audible alarm,,,Work Order No.	85FLUSH2600075,COMPLETE,Jamie Wright,,12 March     2026,,14 April     2026,,
T-35790,"(AU642) 70 Euston Road, Alexandria",Repair,R PASSIVE,,,Passive Fire - Annual,QD-2470,,WO336374/PO587424,COMPLETE,Patricia Mazzotta,,19 March     2026,2 April     2026,14 April     2026,13.60,12.32
T-38479,"Barangaroo Culture Space Building - Cnr Towns Place and Dalgety Road, Millers Point, NSW 2000",Callout,R SPRINKLER,,"Nick Hollingsworth, Tim Hu, Jaiden Raiti",Booster pump fault indicating on FIP.,,,Order #: 20210102,COMPLETE,Allan Sparkl,,6 April     2026,6 April     2026,14 April     2026,0.16,8.06
T-26652,"Goodman AU545 - Interlink Industrial Estate - Kimberly Clark -  35 Sarah Andrews Close, Erskine Park, NSW 2759",Callout,R DETECTION,,,FAS Fault,,,WO: 327960 PO : 572600 CO: 595963,COMPLETE,Mariette Henderson,,24 December  2025,24 December  2025,14 April     2026,0.13,111.10
T-36204,Centennial Park - Grand Drive Sydney NSW 2021,Repair,R DETECTION,,,Park Rangers & Residence Smoke Detection,,SQ-0703,W-03342-000002,COMPLETE,Jamie Wright,,25 March     2026,7 April     2026,14 April     2026,13.35,7.02
T-30992,"Costco Oakdale Depot - 15 Ottellia Road, Kemps Creek, NSW 2141",Repair,R PORTABLE,,,"assett ,  1 , 26,  34, 45 & 46 replcement of 4 x 5 kg ext as requested by Steve Roussis req BARCODES Please apply cap aafter use of hydrant, thanks",,SQ-0538,PO # 192-6114-557 ,COMPLETE,Mariette Henderson,,6 February  2026,,1 April     2026,,
T-39457,"Goodman AU646 - 146 O'Riordan Street, Mascot, NSW 2020",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.08
T-35886,,Minor Works,Minor Works,,,Installation of sprinkler in lift shaft,,,"",COMPLETE,Killian Jordan,,23 March     2026,,,,
T-33905,"63 Britton Street, Smithfield, NSW 2164",I&T,A FPT PASSIVE,,Alasdair Philip,Mar 2026 routine servicing (0 items): Path Of Travel & Discharge To Exit (BCA Part C2 Part D1): Annual (0),,,"",COMPLETE,Jade Ogony,,5 March     2026,11 March     2026,,6.03,
T-33906,"63 Britton Street, Smithfield, NSW 2164",I&T,A EELS,,"Ryan Robinson, Hugo",Mar 2026 routine servicing (95 items): Emergency Escape Lighting & Exit Signs (AS 2293-2019: Section 2): Annual (95),,,"",COMPLETE,Jade Ogony,,5 March     2026,12 March     2026,,7.10,
T-34151,"40 Ricketty Road, Mascot, NSW 2020",Callout,R DETECTION,,,FIP Investigation,,,"",COMPLETE,Jamie Wright,,9 March     2026,14 April     2026,14 April     2026,35.79,0.00
T-37553,"AUSTCOR - 159-163 Newton Road  Wetherell Park, NSW 2164",I&T,M COMBINED,,,"Apr 2026 routine servicing (8 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (3), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (3), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (1), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.01,
T-32476,"Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128",I&T,A DETECTION,,"Haider Al-Heyoury, Alasdair Philip, Harley Wax","Feb 2026 routine servicing (185 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (16), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (169)",,,"",COMPLETE,Office Account,,24 February  2026,14 April     2026,,48.85,
T-39426,"Mandarin Centre - 65 Albert Ave, Chatswood NSW 2067",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,RW0000080916,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.16
T-39427,"30 Loftus Road, Yennora , NSW 2161",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,SO7188341_201010,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.27
T-39429,"Goodman AU019 - Transtech Business Park - 12 Mars Road, Lane Cove West, NSW 2066",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-39431,Goodman AU079 Greystanes Park East - Laminex (bldg 1) 2 Foundation Place PEMULWUY,Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-29756,"Impact International - Cnr Victoria and O’Connell Street, Smithfield,  NSW 2164",I&T,A EELS,,Haider Al-Heyoury,Feb 2026 routine servicing (72 items): Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Annual (72),,,"",COMPLETE,Office Account,,29 January   2026,4 February  2026,,6.20,
T-33116,"Coles CFC - 154 Cowpasture Road, Wetherill Park, NSW 2164",I&T,M GAS VESDA,,,Mar 2026 routine servicing (1 items): Special Hazard: Water Mist Suppression System (AS 1851-2012 Section 7): Monthly (1),,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.68,
T-39433,"Goodman AU122 - Showground Business Park 12 - 20 Anella Ave, Castlehill, NSW, 2019",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-39438,"Goodman AU543 - Packcentre Shed 2 - 33-83 Quarry Road, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.15
T-39437,"Goodman AU543 - Zirco Data - 15-23 Quarry Road, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.15
T-39439,"Goodman AU543 - Zirco Data - 15-23 Quarry Road, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.15
T-39441,"Goodman AU546 - Interlink Industrial Estate - 28 Sarah Andrew Close, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.15
T-29765,"82 Belmore Road North, Riverwood, NSW 2210",I&T,A EELS,,Ryan Robinson,Feb 2026 routine servicing (0 items): Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Annual (0),,,"",COMPLETE,Office Account,,29 January   2026,20 February  2026,,22.13,
T-39446,"Goodman AU643 - 15 Berry Street, Granville, NSW 2142",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.13
T-39447,"Goodman AU643 - 19 Berry Street, Granville, NSW 2142",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.12
T-39448,"Goodman AU058 - Bungaribee Industrial Estate - Building B - Metcash - 71 Huntingwood Drive Building 2, Huntingwood, NSW, 2148W 1044",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.12
T-39449,"Goodman AU568 - Oakdale East Estate - 1-7 Latitude Drive, Horsley Park - NSW 2175",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.12
T-39450,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.12
T-39444,"Goodman AU877 - Silverwater D/C - Warehouse 1/2 - 4 Newington Road, Silverwater, NSW 1044",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.14
T-39440,"Goodman AU545 - Interlink Industrial Estate - Kimberly Clark -  35 Sarah Andrews Close, Erskine Park, NSW 2759",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.15
T-13693,"Goodman AU079 Greystanes Park East - (BLDG 3) Iron Mountain 3 Reconciliation Rise PEMULWUY, 2145, NSW",Billing,,,,Inspection & Testing - Fixed/Monthly 2025-07-01 to 2025-07-31,,,588206,COMPLETE,,,10 July      2025,10 July      2025,10 July      2025,0.00,0.00
T-39432,"Goodman AU106 - M5 Industry Park - Building 1 -  1 Moorebank Avenue, Moorebank, NSW 2170",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-39430,"Goodman AU059 Lidcombe Business Park (Buildings A to F) - 3-29 Birnie Avenue  LIDCOMBE, 2141, NSW",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-39428,"Goodman AU002 - Slough Business Park - 2 Slough Avenue, Silverwater, NSW, 2128",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.16
T-30705,"1A The Crescent,  Kingsgrove, NSW 2208",I&T,A EELS,,Haider Al-Heyoury,Feb 2026 routine servicing (0 items): Emergency Escape Lighting & Exit Signs (AS 2293-1995: Section 2): Annual (0),,,"",COMPLETE,Jade Ogony,,3 February  2026,16 February  2026,,13.05,
T-39454,"Goodman AU210 - Gateway Industrial Estate - 209-215 Walters Road, Arndell Park, NSW 2148",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.09
T-31555,"2A / 2B Culverston Road, Minto, NSW, 2566",I&T,A DETECTION,,"Haider Al-Heyoury, Grant Edwards","Feb 2026 routine servicing (33 items): Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Annual (27), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Annual (6)",,,"",COMPLETE,Jade Ogony,,12 February  2026,24 February  2026,,12.04,
T-39455,"Goodman AU240 - Park View Business Park - 3 Talavera Road, Macquarie Park, NSW 2113",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.09
T-39456,"Goodman AU641 - Gardeners Distribution Centre - 546 Gardeners Road, Mascot, NSW 2020",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.08
T-32785,"Goodman AU181 -Homemaker Centre -  49-59 O'Riordan Street, Alexandria, NSW 2015",Callout,R DETECTION,,,fault on fire panel,,,Work Order No: 335441  Purchase Order No: 585633,COMPLETE,Jamie Wright,,27 February  2026,,14 April     2026,,
T-37465,"Eaton - 10 Kent Road, Mascot, NSW 2020",I&T,M COMBINED,,,"Apr 2026 routine servicing (3 items): Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (2), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,31 March     2026,1 April     2026,,1.12,
T-39458,"Precinct 5 AU186 - 3 Tundra Close, Kemps Kreek, NSW 2178",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,595295,COMPLETE,,,10 April     2026,10 April     2026,14 April     2026,0.00,4.08
T-33018,"Goodman AU019 - Transtech Business Park - 12 Mars Road, Lane Cove West, NSW 2066",I&T,M COMBINED,,Allan Sparkl,"Mar 2026 routine servicing (13 items): Fire Sprinkler System: General Wet Pipe (AS 1851:2012 Section 2): Monthly (5), Fire Pumpsets: Diesel & Electric (AS 1851:2012 Section 3): Monthly (2), Fire Detection: Fire Indicator Panel - FIP (AS 1851:2012 Section 6): Monthly (5), Sound & Intercom For Emergency Purposes (AS 1851:2012 Section 6): Monthly (1)",,,"",COMPLETE,Office Account,,27 February  2026,27 March     2026,,27.84,
T-39460,"45 Britton St, Smithfield",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,A20059_2600026- April 2026 ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.24
T-32692,"Precinct 5 AU186 - 3 Tundra Close, Kemps Kreek, NSW 2178",Repair,R DETECTION,,Gordon Jenkins,FIP Battery replacement,QD-2402,,Work Order No: 335053  Purchase Order No: 584985,COMPLETE,Jamie Wright,,26 February  2026,13 April     2026,14 April     2026,45.89,1.23
T-39463,"203-209 Northumberland Street, Liverpool - NSW 2060",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,W15615826- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.21
T-39465,"Seven Hills Industrial Estate - 17 Stanton Rd, Seven Hills NSW 2147",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,A20058_2600042- April ,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.23
T-34393,"MONDC - 13 Bushmaster Avenue, Moorebank, NSW 2170",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-03-01 to 2026-03-31,,,WP1265163  PP391198,COMPLETE,,,10 March     2026,10 March     2026,7 April     2026,0.00,28.08
T-38347,"Union NSW - 4-10 Goulburn Street, Sydney, NSW 2000",Repair,R SPRINKLER,,,Monthly testing defect sprinkler pump number 2. 2026.,QD-2626,,CWO0682465,COMPLETE,Jade Ogony,,2 April     2026,8 April     2026,14 April     2026,5.82,6.14
T-30707,"1A The Crescent,  Kingsgrove, NSW 2208",I&T,A FPT PASSIVE,,,Feb 2026 routine servicing (0 items): Hinged and Pivoted Doorsets: Common (AS 1851:2012 Section 12): Six-monthly (0),,,"",COMPLETE,Jade Ogony,,3 February  2026,16 February  2026,,12.98,
T-39470,"Building B1, B2, B3 - 5 Williamson Rd, Ingleburn NSW 2565",Billing,,,,Inspection & Testing - Fixed/Monthly 2026-04-01 to 2026-04-30,,,W15660716,COMPLETE,,,10 April     2026,10 April     2026,10 April     2026,0.00,0.11
